Epoch	LR	Train Loss	Recons Loss	KLD Loss	
257.000000	0.000763	0.548355	0.160217	0.388138	
258.000000	0.000756	0.559934	0.160389	0.399545	
259.000000	0.000748	0.561931	0.159715	0.402216	
260.000000	0.000740	0.561407	0.159296	0.402111	
261.000000	0.000733	0.588458	0.159232	0.429227	
262.000000	0.000726	0.582251	0.159507	0.422744	
263.000000	0.000718	0.598321	0.159739	0.438582	
264.000000	0.000711	0.609640	0.158767	0.450873	
265.000000	0.000704	0.596219	0.158955	0.437263	
266.000000	0.000697	0.547327	0.159908	0.387419	
267.000000	0.000690	0.563934	0.160145	0.403789	
268.000000	0.000683	0.564642	0.158460	0.406182	
269.000000	0.000676	0.589383	0.159782	0.429601	
270.000000	0.000670	0.550792	0.158991	0.391801	
271.000000	0.000663	0.573134	0.158664	0.414470	
272.000000	0.000656	0.553844	0.160199	0.393645	
273.000000	0.000650	0.544657	0.160458	0.384198	
274.000000	0.000643	0.559062	0.159728	0.399334	
275.000000	0.000637	0.548549	0.159653	0.388896	
276.000000	0.000630	0.554847	0.160068	0.394780	
277.000000	0.000624	0.548663	0.158865	0.389798	
278.000000	0.000618	0.550136	0.159612	0.390524	
279.000000	0.000612	0.539080	0.159360	0.379719	
280.000000	0.000606	0.554946	0.159912	0.395035	
281.000000	0.000600	0.552783	0.159349	0.393434	
282.000000	0.000594	0.557562	0.160709	0.396853	
283.000000	0.000588	0.568882	0.159822	0.409060	
284.000000	0.000582	0.576866	0.158953	0.417912	
285.000000	0.000576	0.521954	0.158730	0.363224	
286.000000	0.000570	0.560124	0.160488	0.399636	
287.000000	0.000565	0.555889	0.158668	0.397221	
288.000000	0.000559	0.528322	0.159553	0.368768	
289.000000	0.000553	0.540187	0.159556	0.380631	
290.000000	0.000548	0.514991	0.159310	0.355681	
291.000000	0.000542	0.534493	0.158931	0.375562	
292.000000	0.000537	0.548915	0.159987	0.388927	
293.000000	0.000531	0.559576	0.159487	0.400089	
294.000000	0.000526	0.514358	0.159900	0.354458	
295.000000	0.000521	0.523459	0.159953	0.363506	
296.000000	0.000516	0.511663	0.159775	0.351888	
297.000000	0.000511	0.538659	0.159411	0.379247	
298.000000	0.000505	0.540952	0.158940	0.382012	
299.000000	0.000500	0.508316	0.160181	0.348135	
300.000000	0.000495	0.545061	0.159135	0.385927	
301.000000	0.000490	0.520143	0.159300	0.360843	
302.000000	0.000486	0.523191	0.159863	0.363328	
303.000000	0.000481	0.519891	0.158670	0.361221	
304.000000	0.000476	0.512514	0.159527	0.352987	
305.000000	0.000471	0.517318	0.159215	0.358103	
306.000000	0.000466	0.511696	0.159867	0.351829	
307.000000	0.000462	0.529204	0.159706	0.369497	
308.000000	0.000457	0.521898	0.159019	0.362879	
309.000000	0.000453	0.531162	0.159135	0.372027	
310.000000	0.000448	0.523618	0.159438	0.364180	
311.000000	0.000444	0.528664	0.160314	0.368350	
312.000000	0.000439	0.501669	0.159646	0.342023	
313.000000	0.000435	0.525040	0.160318	0.364723	
314.000000	0.000430	0.527511	0.159075	0.368436	
315.000000	0.000426	0.551004	0.159155	0.391849	
316.000000	0.000422	0.504353	0.158942	0.345411	
317.000000	0.000418	0.526137	0.159411	0.366726	
318.000000	0.000413	0.486934	0.159434	0.327500	
319.000000	0.000409	0.504545	0.158729	0.345816	
320.000000	0.000405	0.526180	0.160163	0.366018	
321.000000	0.000401	0.503980	0.160075	0.343904	
322.000000	0.000397	0.507423	0.160102	0.347321	
323.000000	0.000393	0.514626	0.159798	0.354828	
324.000000	0.000389	0.512774	0.159059	0.353715	
325.000000	0.000385	0.532601	0.159645	0.372956	
326.000000	0.000381	0.488337	0.159434	0.328902	
327.000000	0.000378	0.499732	0.159796	0.339935	
